image,duration
image1.pgm,432
image1.pgm,251
image1.pgm,424
image1.pgm,245
image1.pgm,243
image1.pgm,243
image1.pgm,383
image1.pgm,392
image1.pgm,394
image1.pgm,423
image1.pgm,424
image1.pgm,318
image1.pgm,339
image1.pgm,424
image1.pgm,424
image1.pgm,425
image1.pgm,244
image1.pgm,424
image1.pgm,319
image1.pgm,446
image1.pgm,441
image1.pgm,424
image1.pgm,244
image1.pgm,253
image1.pgm,391
image1.pgm,391
image1.pgm,301
image1.pgm,255
image1.pgm,243
image1.pgm,441
image1.pgm,426
image1.pgm,440
image1.pgm,243
image1.pgm,244
image1.pgm,244
image1.pgm,283
image1.pgm,424
image1.pgm,402
image1.pgm,243
image1.pgm,243
image1.pgm,393
image1.pgm,447
image1.pgm,243
image1.pgm,252
image1.pgm,244
image1.pgm,422
image1.pgm,243
image1.pgm,343
image1.pgm,252
image1.pgm,244
MontagneFoncee.pgm,1518
MontagneFoncee.pgm,1532
MontagneFoncee.pgm,1511
MontagneFoncee.pgm,1514
MontagneFoncee.pgm,1522
MontagneFoncee.pgm,1532
MontagneFoncee.pgm,1513
MontagneFoncee.pgm,1501
MontagneFoncee.pgm,1503
MontagneFoncee.pgm,1519
MontagneFoncee.pgm,1502
MontagneFoncee.pgm,1503
MontagneFoncee.pgm,1522
MontagneFoncee.pgm,1503
MontagneFoncee.pgm,1522
MontagneFoncee.pgm,1505
MontagneFoncee.pgm,1513
MontagneFoncee.pgm,1515
MontagneFoncee.pgm,1528
MontagneFoncee.pgm,1513
MontagneFoncee.pgm,1522
MontagneFoncee.pgm,1503
MontagneFoncee.pgm,1521
MontagneFoncee.pgm,1502
MontagneFoncee.pgm,1531
MontagneFoncee.pgm,1530
MontagneFoncee.pgm,1505
MontagneFoncee.pgm,1530
MontagneFoncee.pgm,1511
MontagneFoncee.pgm,1534
MontagneFoncee.pgm,1512
MontagneFoncee.pgm,1503
MontagneFoncee.pgm,1531
MontagneFoncee.pgm,1518
MontagneFoncee.pgm,1503
MontagneFoncee.pgm,1502
MontagneFoncee.pgm,1535
MontagneFoncee.pgm,1530
MontagneFoncee.pgm,1512
MontagneFoncee.pgm,1531
MontagneFoncee.pgm,1515
MontagneFoncee.pgm,1512
MontagneFoncee.pgm,1520
MontagneFoncee.pgm,1528
MontagneFoncee.pgm,1505
MontagneFoncee.pgm,1505
MontagneFoncee.pgm,1503
MontagneFoncee.pgm,1505
MontagneFoncee.pgm,1535
MontagneFoncee.pgm,1521
stavrovouni.pgm,53373
stavrovouni.pgm,53333
stavrovouni.pgm,53303
stavrovouni.pgm,53394
stavrovouni.pgm,53355
stavrovouni.pgm,53320
stavrovouni.pgm,53349
stavrovouni.pgm,53290
stavrovouni.pgm,53300
stavrovouni.pgm,53357
stavrovouni.pgm,53374
stavrovouni.pgm,53352
stavrovouni.pgm,53373
stavrovouni.pgm,53220
stavrovouni.pgm,53334
stavrovouni.pgm,53316
stavrovouni.pgm,53383
stavrovouni.pgm,53344
stavrovouni.pgm,53332
stavrovouni.pgm,53344
stavrovouni.pgm,53337
stavrovouni.pgm,55288
stavrovouni.pgm,53322
stavrovouni.pgm,53343
stavrovouni.pgm,53443
stavrovouni.pgm,53329
stavrovouni.pgm,53306
stavrovouni.pgm,53315
stavrovouni.pgm,53333
stavrovouni.pgm,53325
stavrovouni.pgm,55338
stavrovouni.pgm,53334
stavrovouni.pgm,53424
stavrovouni.pgm,53337
stavrovouni.pgm,53373
stavrovouni.pgm,55320
stavrovouni.pgm,53426
stavrovouni.pgm,53331
stavrovouni.pgm,53368
stavrovouni.pgm,53375
stavrovouni.pgm,53321
stavrovouni.pgm,53339
stavrovouni.pgm,53304
stavrovouni.pgm,53356
stavrovouni.pgm,53398
stavrovouni.pgm,53345
stavrovouni.pgm,53406
stavrovouni.pgm,53334
stavrovouni.pgm,53365
stavrovouni.pgm,53944
